

--- Optimal Temperature and Pressure ---

 FR(60)-Q(40)-A(90)-B(90)

-FR		 Optimal:		  60.0 ± 0.0		 [%]
Q		 Optimal:		  40.0 ± 0.0		 [W]
Te_mean		 Optimal:		  82.64 ± 0.0		 [C]
Tc_mean		 Optimal:		  31.98 ± 0.0		 [C]
Te_std		 Optimal:		  0.34 ± 0.0		 [C]
Tc_std		 Optimal:		  1.25 ± 0.0		 [C]
P		 Optimal:		  0.53 ± 0.0		 [bar]
Te_mean		 Optimal:		  355.79 ± 0.0		 [K]
Tc_mean		 Optimal:		  305.12 ± 0.0		 [K]
Te_std		 Optimal:		  273.49 ± 0.0		 [K]
Tc_std		 Optimal:		  274.4 ± 0.0		 [K]
T_pulse		 Optimal:		  338.83 ± 0.0		 [K]
TR		 Optimal:		  1.27 ± 0.0		 [K/W]
GFE_Te		 Optimal:		  -1899.5 ± 0.0		 [KJ/mol]
GFE_Tc		 Optimal:		  -1629.01 ± 0.0		 [KJ/mol]
dG		 Optimal:		  -270.49 ± 0.0		 [KJ/mol]




--- Optimal Temperature and Pressure ---

 FR(60)-Q(60)-A(90)-B(90)

-FR		 Optimal:		  60.0 ± 0.0		 [%]
Q		 Optimal:		  60.0 ± 0.0		 [W]
Te_mean		 Optimal:		  94.8 ± 0.0		 [C]
Tc_mean		 Optimal:		  35.33 ± 0.0		 [C]
Te_std		 Optimal:		  0.71 ± 0.0		 [C]
Tc_std		 Optimal:		  3.085 ± 0.03535533905932725		 [C]
P		 Optimal:		  0.68 ± 0.0		 [bar]
Te_mean		 Optimal:		  367.95 ± 0.0		 [K]
Tc_mean		 Optimal:		  308.47 ± 0.0		 [K]
Te_std		 Optimal:		  273.86 ± 0.0		 [K]
Tc_std		 Optimal:		  276.235 ± 0.03535533905933541		 [K]
T_pulse		 Optimal:		  0.0 ± 0.0		 [K]
TR		 Optimal:		  0.99 ± 0.0		 [K/W]
GFE_Te		 Optimal:		  -1205.84 ± 0.0		 [KJ/mol]
GFE_Tc		 Optimal:		  -1010.93 ± 0.0		 [KJ/mol]
dG		 Optimal:		  -194.91 ± 0.0		 [KJ/mol]




--- Optimal Temperature and Pressure ---

 FR(60)-Q(80)-A(90)-B(90)

-FR		 Optimal:		  60.0 ± 0.0		 [%]
Q		 Optimal:		  80.0 ± 0.0		 [W]
Te_mean		 Optimal:		  100.2 ± 0.0		 [C]
Tc_mean		 Optimal:		  31.05 ± 0.0		 [C]
Te_std		 Optimal:		  96.77 ± 0.0		 [C]
Tc_std		 Optimal:		  1.17 ± 0.0		 [C]
P		 Optimal:		  0.38000000000000006 ± 6.798699777552591e-17		 [bar]
Te_mean		 Optimal:		  373.3500000000001 ± 6.961868572213853e-14		 [K]
Tc_mean		 Optimal:		  304.2 ± 0.0		 [K]
Te_std		 Optimal:		  369.92 ± 0.0		 [K]
Tc_std		 Optimal:		  274.32 ± 0.0		 [K]
T_pulse		 Optimal:		  0.0 ± 0.0		 [K]
TR		 Optimal:		  0.86 ± 0.0		 [K/W]
GFE_Te		 Optimal:		  -3019.09 ± 0.0		 [KJ/mol]
GFE_Tc		 Optimal:		  -2459.91 ± 0.0		 [KJ/mol]
dG		 Optimal:		  -559.18 ± 0.0		 [KJ/mol]




--- Optimal Temperature and Pressure ---

 FR(60)-Q(100)-A(90)-B(90)

-FR		 Optimal:		  60.0 ± 0		 [%]
Q		 Optimal:		  100.0 ± 0		 [W]
Te_mean		 Optimal:		  103.44 ± 0		 [C]
Tc_mean		 Optimal:		  32.42 ± 0		 [C]
Te_std		 Optimal:		  0.66 ± 0		 [C]
Tc_std		 Optimal:		  0.82 ± 0		 [C]
P		 Optimal:		  0.74 ± 0		 [bar]
Te_mean		 Optimal:		  376.59 ± 0		 [K]
Tc_mean		 Optimal:		  305.58 ± 0		 [K]
Te_std		 Optimal:		  273.81 ± 0		 [K]
Tc_std		 Optimal:		  273.97 ± 0		 [K]
T_pulse		 Optimal:		  363.91 ± 0		 [K]
TR		 Optimal:		  0.71 ± 0		 [K/W]
GFE_Te		 Optimal:		  -970.52 ± 0		 [KJ/mol]
GFE_Tc		 Optimal:		  -787.51 ± 0		 [KJ/mol]
dG		 Optimal:		  -183.02 ± 0		 [KJ/mol]




--- Optimal Temperature and Pressure ---

 FR(60)-Q(120)-A(90)-B(90)

-FR		 Optimal:		  60.0 ± 0		 [%]
Q		 Optimal:		  120.0 ± 0		 [W]
Te_mean		 Optimal:		  94.02 ± 0		 [C]
Tc_mean		 Optimal:		  34.0 ± 0		 [C]
Te_std		 Optimal:		  1.15 ± 0		 [C]
Tc_std		 Optimal:		  3.51 ± 0		 [C]
P		 Optimal:		  0.59 ± 0		 [bar]
Te_mean		 Optimal:		  367.17 ± 0		 [K]
Tc_mean		 Optimal:		  307.15 ± 0		 [K]
Te_std		 Optimal:		  274.3 ± 0		 [K]
Tc_std		 Optimal:		  276.66 ± 0		 [K]
T_pulse		 Optimal:		  349.03 ± 0		 [K]
TR		 Optimal:		  0.5 ± 0		 [K/W]
GFE_Te		 Optimal:		  -1634.62 ± 0		 [KJ/mol]
GFE_Tc		 Optimal:		  -1367.42 ± 0		 [KJ/mol]
dG		 Optimal:		  -267.21 ± 0		 [KJ/mol]

